ActivityBucket	Department	Project	Status	Archive?	Category	Language	Live	Beta	LastUpdate	DueDate	Involved	GitHub	Telegram	Linked Project	Description	Notes	IP	Framework
active	Ecosystem	Spectrum	Active	False			True	False			Ilya Oskin		https://t.me/spectrum_labs_community					
active	Ecosystem	TabbyPOS	Active	False			True	False			lee		https://t.me/tabbypos					
active	Ecosystem	duckpools	Active	False			True	False			Krasavice		https://t.me/duckpools_chat					
active	Ecosystem	ergcube	Active	False			False	False			HQ							
active	Ecosystem	ergo-reputation-system	In progress	False	PoP		False	False			jossemii	https://github.com/celaut-project/ergo-reputation-system						
active	Ecosystem	gluon.gold	Active	False			True	True			Bruno, kii, lgd							
active	Ecosystem	nft-market	In progress	False	NFTs	JS/TS	False	False			Marty, noob77777	https://github.com/ergo-pad/nft-market						
active	Ecosystem	single-tx-swap	Active	False			True	False			danza							
active	Ecosystem, Tooling	CYTI	Active	False	Mining	JS/TS	False	False			haileypdll	https://github.com/ThierryM1212/cyti						
active	SDKs	AppKit	Active	False	SDKs	Java, Scala	False	False			morphic	https://github.com/ergoplatform/ergo-appkit						
active	SDKs	Fleet	Active	False	SDKs	JS/TS	False	False			"""Allison "", SepherGanji"	https://github.com/fleet-sdk						
active	SDKs	FleetSharp	Active	False	SDKs	C#	False	False			Pulsarz	https://docs.ergoplatform.com/dev/stack/fleetsharp/						
active	SDKs	SigmaJS	Active	False	SDKs		False	False							Sigma JS, in conjunction with Fleet, aims to offer a user experience for Javascript developers that is comparable to what AppKit provides for JVM developers.			
active	SDKs	sigma-rust	Active	False	SDKs	Rust	False	False			soysor, greenhat	https://github.com/ergoplatform/sigma-rust/						
active	Sigmanauts	Marketing Group	In progress	False			False	False			cannon, Koutelier							
active	Sigmanauts	Paideia Onboarding	In progress	False			False	False										
active	Sigmanauts	SigCan Prune	In progress	False			False	False			Glasgow							
active	Tooling	ErgCamel	Active	False	Utilities	JS/TS	False	False			LiquidPhase	https://github.com/TremendouslyHighFrequency/ErgCaml						
active	Tooling	KuPyBot	Active	False	Utilities	Python	False	False			FlyingPig							
active	Tooling	ergo-lib-go	Active	False	Libraries	C, Go	False	False			Alesfatalis	https://github.com/sigmaspace-io/ergo-lib-go						
active	Tooling, Ecosystem	GuapSwap	Active	False	Mining		False	False				https://github.com/GuapSwap			"Guapswap is a fully decentralized smart contract profit swapping service on the Ergo Blockchain.

"			
active	Wallets	KeyStone Wallet	In progress	False			False	False										
active	Wallets	Minotaur	Active	False		JS/TS	True	False			mhs, vorujack	https://github.com/minotaur-ergo/minotaur-wallet						
active	Wallets	SAFEW	Active	False		JS/TS	True	False			haileypdll	https://github.com/ThierryM1212/SAFEW						
active	core	DAO for infrastructure and core development	In progress	False			False	False			kushti							
hold	Integrations	Coincarp 	Awaiting Response	False			False	False	2024-04-09	2024-04-09	Glasgow							
hold	Integrations	sideshift	Awaiting Response	False			False	False	2024-02-29	2024-02-29	Koutelier							
hold	Integrations	Fireblocks	Awaiting Response	False			False	False	2024-02-23	2023-09-12	qx, Armeanio					Armeanio initially contacted, but had no response (TBC?), qx attempted to contact via NDAX		
hold	Integrations	Dexhunter	Awaiting Response	False			False	False	2024-02-23	2023-11-01	Noah							
hold	Integrations	Travala	Backburner	False			False	False	2024-02-23	2024-02-23	Glasgow, bez					$45k. 		
hold	Integrations	Chainalysis	Awaiting Response	False			False	False	2024-02-07	2023-08-02	Glasgow							
hold	Integrations	Coinfirm	Roadblock	False			False	False	2024-02-07	2023-08-23	Glasgow					KYC for easier integration. Quoted ~$200k (To check)		
hold	Integrations	Dune Analytics	Awaiting Response	False			False	False	2024-02-06	2023-05-09								
hold	Integrations	intotheblock	Awaiting Response	False			False	False	2024-02-06	2023-05-09	Glasgow							
hold	Integrations	dexscreener	Awaiting Response	False			False	False	2024-02-06	2023-05-10								
hold	Integrations	WalletInvestor	Awaiting Response	False			False	False	2024-02-06	2023-05-23	Glasgow							
hold	Integrations	tokenterminal	Roadblock	False			False	False	2024-02-06	2023-06-19	Glasgow							
hold	Integrations	Bubblemaps Integration	Roadblock	False			False	False	2024-02-06	2023-06-25	wombo							
hold	Integrations	footprint network	Roadblock	False			False	False	2024-02-06	2023-07-24	wombo							
hold	Wallets	Tangem	Roadblock	False			False	False	2024-02-06	2023-10-24	Glasgow							
hold	Integrations	Bitrefil	Awaiting Response	False			False	False	2024-02-06	2023-12-07	Glasgow							
hold	Wallets	TrustWallet integration	Roadblock	False			False	False	2024-02-06	2024-01-29	bez							
hold	Integrations	GetBlock.io	Roadblock	False			False	False	2024-02-06		Glasgow							
hold	Integrations	pokt	Roadblock	False			False	False	2024-02-06		wombo							
hold	Ecosystem	Azorus	Paused	False	Toolkit		False	False			curbsideprofit		https://t.me/azorus_xyz					
hold	Ecosystem	Bitdomains	Paused	False	DNS		False	False			c8							
hold	Ecosystem	ErgoNation	Paused	False			False	False										
hold	Ecosystem	ErgoStats	Paused	False	Interaction	Swift	False	False				https://github.com/ach2swift/ErgoStats						
hold	Ecosystem	GetBlok	Paused	False	Mining		False	False			cheeseenthusiast							
hold	Ecosystem	SigmaStamp	Paused	False	Utilities	JS/TS	False	False				https://github.com/sigmastamp						
hold	Ecosystem	"SigmaSubscriptionsManager
"	Paused	False	Utilities	JS/TS	False	False				https://github.com/cornbelt-dev/sigma-subscriptions-manager						
hold	Integrations	Spectrum Finance Dex on CMC	Awaiting Response	False			False	False										
hold	Integrations	defiprime	Roadblock	False			False	False										
hold	SDKs	JSON dApp Environment	Paused	False	SDKs	JSON	False	False			scalahub	https://github.com/scalahub/jde						
hold	SDKs	Mosaik	Paused	False	SDKs	Java	False	False			MrStahlfelge	https://github.com/MrStahlfelge/mosaik						
hold	SDKs	RustKit	Backburner	False	SDKs	Rust	False	False			Zack Balbin	https://crates.io/crates/ergo-rustkit						
hold	SDKs	ergpy	Paused	False	SDKs	Python	False	False			MGpai	https://github.com/mgpai22/ergpy						
hold	SDKs	headless dapp frmwork	Backburner	False	SDKs	Rust	False	False			Robert Kornacki, greenhat, David Przybilla	https://github.com/ergoplatform/ergo-headless-dapp-framework						
hold	Sigmanauts	Zealy	Backburner	False			False	False			lexymon							
hold	Tooling	"more-scala-sdk
"	Paused	False	SDKs	Scala	False	False			noob77777	https://github.com/ergopad/more-scala-sdk						
hold	Wallets	Exodus	Roadblock	False			False	False										
hold	Wallets	Light SPV Wallet	Roadblock	False			False	False										
hold	Wallets	Metamask Integration	Roadblock	False	Wallets	JS/TS	False	True			"""Allison """	https://github.com/nautls/ergsnap						
triage	EIP	EIP-XX: Special Addresses	Needs Check	False			False	False	2024-02-06	2023-03-10	"""Allison """							
triage	EIP	EIP-0008: New Transaction Validation with Just-In-Time Costing	Needs Check	False			False	False	2024-02-06	2023-03-28	morphic							
triage	Integrations	Messari	K.B	False			False	False	2024-02-06	2023-05-20	wombo							
triage	Integrations	Coinranking	Needs Check	False			False	False	2024-02-06	2023-05-21	wombo							
triage	Integrations	Glassnode	K.B	False			False	False	2024-02-06	2023-05-22	wombo							
triage	Integrations	CryptoStats	Needs Check	False			False	False	2024-02-06	2023-08-20								
triage	Integrations	Alchemy dApp Store	Needs Check	False			False	False	2024-02-06									
triage	Integrations	Blockly	Inbox	False			False	False	2024-02-06									
triage	Integrations	Defiprime	K.B	False			False	False	2024-02-06									
triage	Integrations	Nansen	Needs Check	False			False	False	2024-02-06									
triage	Integrations	WalletConnect	Needs Check	False			False	False	2024-02-06									
triage	Integrations	dAppRadar	Inbox	False			False	False	2024-02-06									
triage	Integrations	tokeninsight	Inbox	False			False	False	2024-02-06									
triage	EIP	EIP process improvement	Inbox	False			False	False			"Glasgow, ""Allison """							
triage	EIP	"EIP-0045: Redistribution Smart Contract for claimed Storage Fees
"	Needs Check	False			False	False				https://github.com/ergoplatform/eips/pull/93						
triage	EIP	"EIP0044 - encrypted NFT media and secret validation using ZKP and a 'truthy' output box.
"	Needs Check	False			False	False				https://github.com/TremendouslyHighFrequency/eips/blob/master/eip-0044.md						
triage	Ecosystem	Cyberiad	Inbox	False			False	False										
triage	Ecosystem	ErgAsia	Needs Check	False			False	False										
triage	Ecosystem	SERV Protocol	Needs Check	False			False	False										
triage	Ecosystem	SigmaGallery	Needs Check	False	NFTs		False	False										
triage	Ecosystem	SigmaJoin	Inbox	False	Cryptographic		False	False			scalahub							
triage	Editorial	@Ergo_Platform content planning	Inbox	False			False	False										
triage	Events, Editorial	Brazil Meetup	Inbox	False			False	False			"""Allison "", Marcelo"							
triage	Events, Editorial	ERGOHACK 8?	Inbox	False			False	False			Angie Har							
triage	Integrations	Hostinger	Inbox	False			False	False										
triage	Integrations	milkroad	Inbox	False			False	False			bez							
triage	Sigmanauts	DAO Legal Research	Inbox	False			False	False										
triage	Sigmanauts	Mission Statement	Needs Check	False			False	False										
triage	Wallets	Unifying payments standard	Inbox	False			False	False			"""Allison """							
empty		Marketing & Socials		False			False	False	2024-11-15									
empty	Integrations	Artemis	Done	False			False	False	2024-02-07	2024-02-29	Glasgow							
empty	Core Infrastructure	Reference Client (Node)		False	Node-tools	Scala	False	False	2024-02-07		kushti, Colby Cellador	https://github.com/ergoplatform/ergo						
empty	EIP	EIP-44: Arbitrary data signing	Done	False			False	False	2024-02-06	2024-01-24	"""Allison """	https://github.com/ergoplatform/eips/pull/92						
empty	Tooling	scrypto		False	Cryptographic	Scala	False	False	2024-02-06		Colby Cellador	https://github.com/input-output-hk/scrypto/			"Cryptographic primitives for Scala

"			
empty	core	Metadata		False			False	False	2024-02-06		"Luivatra, ""Allison """							
empty	Core Infrastructure	GraphQL		False	Interaction	JS/TS	False	False			"""Allison "", SepherGanji"	https://github.com/nautls/ergo-graphql						
empty	Core Infrastructure	erg-explorer		False	Interaction	JS/TS	False	False			Aco Smrkas	https://github.com/AcoSmrkas/ErgExplorer	https://t.me/ErgExplorer					
empty	Core Infrastructure	explorer		False	Interaction		False	False			Dmitry Usov	https://explorer.ergoplatform.com/						
empty	Core Infrastructure	oracle-core		False	Oracles	Rust	False	False			soysor	https://github.com/ergoplatform/oracle-core						
empty	EIP	EIP-0011: Distributed Signatures		False			False	False										
empty	EIP	"EIP-43: Reduced Transaction
"	Done	False			False	False				https://github.com/ergoplatform/eips/pull/91						
empty	Ecosystem	BlobsTopia	Done	False			False	False			haileypdll							
empty	Ecosystem	Winter Protocol		False			False	True			MGpai							
empty	Editorial	DeBank	Done	False			False	False			bez							
empty	Events, Editorial	ErgoSummit		False			False	False			Angie Har							
empty	IT Infrastructure	.ergoplatform.com/org		False			False	False			kushti						88.198.50.217	
empty	IT Infrastructure	.sigmaverse.io		False			False	False			kushti						88.198.50.217	
empty	IT Infrastructure	api-testnet.ergoplatform.com		False			False	False			kushti						95.216.225.144, 46.4.112.10, 95.217.196.112, 148.251.125.83	
empty	IT Infrastructure	api.ergoplatform.com		False			False	False			kushti							
empty	IT Infrastructure	dexy-test.ergoplatform.org		False			False	False			kushti						195.201.82.115	
empty	IT Infrastructure	docs.ergoplatform.org		False			False	False			kushti						195.201.82.115	
empty	IT Infrastructure	explorer.ergoplatform.org		False			False	False			kushti						195.201.82.115	
empty	IT Infrastructure	sigma-admin.ergoplatform.com		False			False	False			kushti						195.201.82.115	
empty	IT Infrastructure	testnet.ergoplatform.com		False			False	False			kushti						95.216.225.144, 46.4.112.10, 95.217.196.112, 148.251.125.83	
empty	Integrations	Find more rsERG integrations		False			False	False										
empty	Integrations	Koinly	Done	False			False	False			Noah							
empty	Sigmanauts	Ergohack marketing	Done	False			False	False			Glasgow							
empty	Tooling	Address Generation Demo		False	Transactions	Rust	False	False			soysor	https://github.com/ergoplatform/sigma-rust/tree/develop/bindings/ergo-lib-wasm/examples/address-generation-demo						
empty	Tooling	Autolykos-GPU-miner		False	Mining		False	False				https://github.com/mhssamadani/Autolykos-GPU-miner						
empty	Tooling	Create Transaction Demo		False	Transactions	Rust	False	False			soysor	https://github.com/ergoplatform/sigma-rust/tree/develop/bindings/ergo-lib-wasm/examples/create-transaction-demo						
empty	Tooling	Ergo Blockchain Scanner		False	Interaction	Scala	False	False			aragogi	https://github.com/aragogi/scanner						
empty	Tooling	Ergo Contract Templates (EIP5)		False	ErgoScript	ErgoScript	False	False			morphic, soysor	https://github.com/ergoplatform/eips/blob/master/eip-0005.md						
empty	Tooling	Ergo Off-Chain Bot Template		False	Templates; Off-chain	Scala	False	False			MGpai	https://github.com/mgpai22/Ergo-OffChain-Bot-Template						
empty	Tooling	"Ergo Playground
"		False	ErgoScript	Scala	False	False			jaysee260	https://github.com/jaysee260/ergo-playground						
empty	Tooling	"Ergo Playgrounds
"		False	Off-chain; ErgoScript	Scala	False	False			greenhat, code-for-us, kushti, Luivatra	https://github.com/ergoplatform/ergo-playgrounds						
empty	Tooling	Ergo-play-boilerplate		False	Templates	Scala	False	False			kii	https://github.com/kii-dot/ergo-play-boilerplate 						
empty	Tooling	ErgoScript-Developer-Course		False	ErgoScript	ErgoScript	False	False				https://github.com/DeCo-Education/ErgoScript-Developer-Course						
empty	Tooling	ErgoSphere		False	Infrastructure	Java	False	False			jellymlg	https://github.com/jellymlg/ErgoSphere			a personal Ergo ecosystem			
empty	Tooling	ErgoStats		False	Analytics		False	False				https://github.com/ach2swift/ErgoStats			iOS Stats App			
empty	Tooling	ErgoStats Android		False	Analytics		False	False				https://github.com/sachindayl/ErgoStatsAndroid			Android Stats App			
empty	Tooling	ErgoToolsBot		False	Utilities	Python	False	False			ladopixel	https://github.com/ladopixel/ErgoToolsBot			Telegram bot			
empty	Tooling	ErgoTree pseudo-code		False	ErgoScript	Rust	False	False			soysor	https://github.com/ross-weir/ergo-script-re/tree/main/ergotree-pseudo-code			Generates pseudo code for compiled ergo trees on a best effort basis.			
empty	Tooling	ErgoUtils		False	Utilities	JS/TS	False	False			anon-real	https://github.com/anon-real/ErgoUtils						
empty	Tooling	"ErgoUtilsUploadService
"		False	Utilities	C#	False	False			"""Allison """	https://github.com/arobsn/ErgoUtilsUploadService			An upload service used by ErgoUtils to upload NFT files to nft.storage.			
empty	Tooling	ErgoVision.ipynb		False	Analytics		False	False				https://colab.research.google.com/drive/13O_6XEHi7xbjuhzby0s7YGX0rshrClXK?usp=sharing			Draw connections between wallets based on transactions			
empty	Tooling	ErgoWell		False	Utilities	JS/TS	False	False			mhs, Fateme Rahmani, vorujack	https://github.com/mhssamadani/ErgoWell			"Staking Solution and Venture Funding on Ergo Platform

"			
empty	Tooling	Ergonnection		False	P2P	Java	False	False			Aberg	https://github.com/Satergo/Ergonnection/		Reference Client (Node)				
empty	Tooling	Kiosk	Archived	False	ErgoScript	Scala	False	False			scalahub	https://github.com/scalahub/Kiosk						
empty	Tooling	Multisig in JS		False	Demo		False	False			c8	https://github.com/SavonarolaLabs/multisig-input			example tests for signing different kind of multisig transactions with ergo-lib-wasm-nodejs			
empty	Tooling	NetNotes		False	Infrastructure	Java	False	False			networkspore	https://github.com/networkspore/Netnotes-Linux						
empty	Tooling	Plasma		False	Off-chain; Scaling	JS/TS	False	False			soysor	https://github.com/bitdomains/plasma						
empty	Tooling	Plasma Toolkit		False	Off-chain; Scaling; Toolkit	Scala	False	False			cheeseenthusiast	https://github.com/K-Singh/Plasma-Toolkit						
empty	Tooling	Rewards Consolidator		False	Mining		False	False				https://github.com/mgpai22/ergo-miner-reward-consolidator						
empty	Tooling	Rust AVL Tree		False	Scaling	Rust	False	False										
empty	Tooling	Rust Benchmarks		False	Testing	Rust	False	False			morphic	https://github.com/aslesarenko/rust-benchmarks						
empty	Tooling	SchnorrSpec		False	ErgoScript; Cryptographic	Scala	False	False			scalahub	https://github.com/ergoplatform/ergo-jde/blob/main/kiosk/src/test/scala/kiosk/schnorr/SchnorrSpec.scala			signature generation off-chain and verification on-chain explained			
empty	Tooling	SigmaUSD_bank.ipynb		False	Analytics		False	False				https://colab.research.google.com/drive/1iA_PPvWrJGjdpOFYME7W_lQrU4BemaE4?usp=sharing			Pulls all SigmaUSD bank transactions for analysis			
empty	Tooling	Sigmanauts Mining Pool		False	Mining		False	False				https://github.com/marctheshark3/sigmanaut-mining-pool-ui/						
empty	Tooling	Strainer		False	Transactions	Rust	False	False			David Przybilla	https://github.com/dav009/strainer		Reference Client (Node)	Listen and pipe Ergo TXs and eUTXOs			
empty	Tooling	VSCode ErgoScript Language Support		False	Utilities		False	False			lgd	https://github.com/GuapSwap/vscode-ergoscript-language-support						
empty	Tooling	Yet Another Airdrop Tool		False	Transactions	Python	False	False			FlyingPig	https://github.com/FlyingPig69/YAAT/						
empty	Tooling	appkit-by-example		False	Demo	Scala	False	False			ApexTheory	"https://github.com/ApexTheory/appkit-by-example"""						
empty	Tooling	bouncycastle-js		False	Libraries	JS/TS	False	False			"""Allison "", morphic"	https://github.com/aslesarenko/bouncycastle-js						
empty	Tooling	chain-name-service		False	Utilities	Scala	False	False			soysor	https://github.com/ross-weir/chain-name-service						
empty	Tooling	danaides		False	Toolkit	Python	False	False			Luivatra, noob77777, Marty	https://github.com/ergopad/danaides		explorer	A high-performance blockchain toolkit.			
empty	Tooling	edge		False	Templates	Scala	False	False			kii	https://github.com/Ergo-Lend/edge			"Ergo Development Generics Elements

"			
empty	Tooling	erg-urlwallet		False	Wallets	Java, Scala	False	False			scalahub	https://github.com/scalahub/erg-urlwallet						
empty	Tooling	ergo-analytics		False	Analytics		False	False				https://github.com/gsblabsio/ergo-analytics			The essentials for a blockchain analyst or data scientist who want to extract insights from the Ergo network using Docker.			
empty	Tooling	ergo-appkit-examples		False	Templates	C, Scala, Java, JS/TS, Python, Ruby	False	False			morphic	https://github.com/aslesarenko/ergo-appkit-examples						
empty	Tooling	ergo-assembler		False	Off-chain	Scala	False	False			anon-real	https://github.com/anon-real/ergo-assembler			For dApps to bypass node requirement for users.			
empty	Tooling	ergo-asset-locker		False	Demo	JS/TS	False	False			mowreez	https://github.com/mowreez/ergo-asset-locker						
empty	Tooling	"ergo-audit-backend
"		False	Demo	Java	False	False			jlsachse	https://github.com/jlsachse/ergo-audit-backend						
empty	Tooling	ergo-basic-template		False	Templates	JS/TS	False	False			twobitEd	https://github.com/ERGnomes/ergo-basic-template			Ergo Basic Template			React
empty	Tooling	ergo-castanet		False	ErgoScript	Dhall, Scala	False	False			iandebeer	https://github.com/iandebeer/ergo-castanet						
empty	Tooling	ergo-easy-oracle		False	Oracles	Dockerfile	False	False			reqlez	https://github.com/reqlez/ergo-easy-oracle		oracle-core				
empty	Tooling	"ergo-faucet
"		False	Utilities	Scala	False	False			Zargarzadeh, mhs	https://github.com/zargarzadehm/ergo-faucet						
empty	Tooling	ergo-full-node-raspi		False	Demo	Python	False	False			ccgarant	"https://github.com/ApexTheory/appkit-by-example"""		Reference Client (Node)				
empty	Tooling	ergo-handshake		False	P2P	Rust	False	False			techraed	https://github.com/techraed/ergo-handshake		Reference Client (Node)				
empty	Tooling	"ergo-indexer-rust
"		False	APIs	Rust	False	False			darkdrag00nv2	https://github.com/darkdrag00nv2/ergo-indexer-rust						
empty	Tooling	ergo-intelligence		False	Analytics		False	False				https://github.com/Eeysirhc/ergo-intelligence			Tools, guides, and resources for blockchain analysts to interface with data on the Ergo platform.			
empty	Tooling	ergo-js-template		False	Templates	JS/TS	False	False			anon-real	https://github.com/anon-real/ergo-js-template						
empty	Tooling	ergo-lib-wasm		False	Libraries	JS/TS	False	False			soysor	https://github.com/ergoplatform/ergo-lib-wasm						
empty	Tooling	ergo-mining-pool		False	Mining		False	False				https://github.com/mgpai22/ergo-mining-pool						
empty	Tooling	ergo-monitoring		False	Node-tools	Rust	False	False			SabaunT	https://github.com/SabaunT/ergo-monitoring			"Debug service printing out useful for developers and managers information about ergo blockchain state.

"			
empty	Tooling	ergo-monitoring		False	Analytics		False	False				https://github.com/SabaunT/ergo-monitoring			Debug service printing out useful for developers and managers information about ergo blockchain state.			
empty	Tooling	ergo-nft-bulk-minter		False	NFTs	Python	False	False			MGpai	https://github.com/mgpai22/ergo-nft-bulk-minter						
empty	Tooling	ergo-node-interface-rust		False	Node-tools	Rust	False	False			greenhat, soysor, Zack Balbin, David Przybilla	https://github.com/ergoplatform/ergo-node-interface-rust		Reference Client (Node)				
empty	Tooling	ergo-node-zmqpub		False	Utilities	Scala	False	False			Luivatra	https://github.com/cruxfinance/ergo-node-zmqpub		Reference Client (Node)	Picks up events from an ergo node and publishes them on a zeromq pub socket			
empty	Tooling	ergo-offchain		False	Off-chain; Demo	Kotlin	False	False			MrStahlfelge	https://github.com/MrStahlfelge/ergo-offchain						
empty	Tooling	ergo-portable		False	Node-tools	Shell	False	False			soysor	https://github.com/ross-weir/ergo-portable						
empty	Tooling	ergo-puppet		False	ErgoScript	Scala	False	False			David Przybilla	https://github.com/dav009/ergo-puppet						
empty	Tooling	ergo-scala-skeleton-app		False	Templates	Scala	False	False			David Przybilla	https://github.com/dav009/ergo-scala-skeleton-app						
empty	Tooling	ergo-script-re		False	ErgoScript; Libraries	Rust	False	False			soysor	https://github.com/ross-weir/ergo-script-re			Libraries for Ergo Script reverse engineering and analysis			
empty	Tooling	ergo-setup		False	Toolkit	Dockerfile	False	False			abchris	https://github.com/reqlez/ergo-setup		explorer	Simple Ergo lab setup			
empty	Tooling	"ergo-simple-addresses
"		False	Transactions	Java	False	False			kushti	https://github.com/kushti/ergo-simple-addresses						
empty	Tooling	ergo-status		False	Analytics		False	False				http://ergo-status.net/						
empty	Tooling	ergo-stealth-address-example		False	Demo; Cryptographic; Transactions	JS/TS	False	False			soysor	https://github.com/ross-weir/ergo-stealth-address-example						
empty	Tooling	"ergo-synced-node
"		False	Node-tools	Python, Shell	False	False			MGpai	https://github.com/mgpai22/ergo-synced-node		Reference Client (Node)				
empty	Tooling	ergo-token-analysis		False	Tokens		False	False				https://github.com/freeboy0/ergo-token-analysis						
empty	Tooling	ergo-token-list		False	Tokens		False	False				https://github.com/ThierryM1212/ergo-token-minter			from spectrum-finance			
empty	Tooling	ergo-token-minter		False	Tokens		False	False				https://github.com/ThierryM1212/ergo-token-minter						
empty	Tooling	ergo-tokenautics		False	Tokens	Python	False	False			babygrenade	https://github.com/babygrenade/ergo-tokenautics			token distribution			
empty	Tooling	ergo-tokenautics		False	Analytics		False	False				https://ergo.watch/						
empty	Tooling	ergo-tool		False	Node-tools	Scala	False	False			morphic, greenhat, haileypdll, scalahub	https://github.com/ergoplatform/ergo-tool			A Command Line Interface for Ergo blockchain			
empty	Tooling	ergo-uexplorer		False	Interaction	Scala	False	False			pragmaxim	https://github.com/pragmaxim/ergo-uexplorer						
